OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
29,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,OUYEN,242.970532261721
30,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,OUYEN to BOINKA,76615.4177104629
31,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,PANITYA,4179.3550039214
32,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,PIANGIL to MANANGATANG,46354.5711669161
33,Approved,No Conditions Apply,Department of Transport - Victoria,MCCALLUM STREET ,Other Arterial Road,SWAN HILL,296.598863537143
34,Approved,No Conditions Apply,Department of Transport - Victoria,MILLEWA ROAD ,Other Arterial Road,MERINGUR to KOORLONG,82388.2233150192
35,Approved,No Conditions Apply,Department of Transport - Victoria,MILLEWA ROAD ,Other Arterial Road,RED CLIFFS to KOORLONG,663.320948267457
36,Approved,No Conditions Apply,Department of Transport - Victoria,MURRAY VALLEY HIGHWAY ,Arterial Highway,BANNERTON to BOUNDARY BEND,39355.6067961113
37,Approved,No Conditions Apply,Department of Transport - Victoria,MURRAY VALLEY HIGHWAY ,Arterial Highway,BANNERTON to ROBINVALE,22958.1958275651
38,Approved,No Conditions Apply,Department of Transport - Victoria,MURRAY VALLEY HIGHWAY ,Arterial Highway,BOUNDARY BEND to NARRUNG,10846.0388888073
39,Approved,No Conditions Apply,Department of Transport - Victoria,MURRAY VALLEY HIGHWAY ,Arterial Highway,NARRUNG to KENLEY,4232.11224443267
40,Approved,No Conditions Apply,Department of Transport - Victoria,MURRAY VALLEY HIGHWAY ,Arterial Highway,SWAN HILL,335.416345974152
41,Approved,No Conditions Apply,Department of Transport - Victoria,MURRAY VALLEY HIGHWAY ,Arterial Highway,SWAN HILL to KENLEY,85751.397638258
42,Approved,No Conditions Apply,Department of Transport - Victoria,ROBINVALE-SEA LAKE ROAD ,Other Arterial Road,BANNERTON to ROBINVALE IRRIGATION DISTRICT SECTION B,14212.35200608
43,Approved,No Conditions Apply,Department of Transport - Victoria,SEVENTH STREET ,Arterial Highway,MILDURA,629.811320301065
44,Approved,No Conditions Apply,Department of Transport - Victoria,SEVENTH STREET ,Other Arterial Road,MILDURA,2946.20638807751
45,Approved,No Conditions Apply,Department of Transport - Victoria,STURT HIGHWAY ,Arterial Highway,MILDURA,1021.74106245086
46,Approved,No Conditions Apply,Department of Transport - Victoria,STURT HIGHWAY ,Arterial Highway,YAMBA (SA) to MILDURA,144329.700127265
47,Approved,No Conditions Apply,Department of Transport - Victoria,SWAN HILL-MOULAMEIN ROAD ,Other Arterial Road,SWAN HILL,53.3982348233586
48,Approved,No Conditions Apply,Department of Transport - Victoria,WENTWORTH ROAD ,Arterial Highway,YELTA to MERBEIN,12740.8179827959
49,Approved,No Conditions Apply,MANSFIELD,REARDON LANE,Municipal Road,MANSFIELD,103.514165228681
50,Approved,No Conditions Apply,MILDURA,ADAMS STREET,Municipal Road,MILDURA,461.649243045479
51,Approved,No Conditions Apply,MILDURA,BARING ROAD,Municipal Road,PATCHEWOLLOCK,10946.2177766522
